parentCompany,businessName,businessType,expires,street,city,state,zipCode
222 NORTH TEJON CORP,JOSE MULDOONS,Hotel & Restaurant (city), 12/31/2015,222 N TEJON,Colorado Springs,CO,809031314
2415 BLAKE LICENSE LLC,2415 BLAKE LICENSE,Hotel & Restaurant (city), 08/20/2015,2401 BLAKE STREET,Denver,CO,80205
2620  W BELLEVIEW LLC,PINT ROOM THE,Hotel & Restaurant (city), 12/01/2015,2620 W BELLEVIEW AVE,Littleton,CO,80123
2620 WALNUT BAR LLC,CASSELMAN'S BAR & VENUE,Hotel & Restaurant (city), 01/22/2016,2620 WALNUT ST,Denver,CO,802052231
2700 & ARAPAHOE LLC,SAVOY AT CURTIS PARK,Tavern (city), 02/19/2016,2700 ARAPAHOE UNIT D,Denver,CO,80205
2700 SB LLC,COLORE ITALIAN RESTAURANT & PIZZERIA,Hotel & Restaurant (city), 02/22/2016,2700 S BROADWAY UNIT A,ENGLEWOOD,CO,801131523
"285 LANDING, INC.",285 LANDING ASIAN BISTRO,Hotel & Restaurant (city), 10/21/2015,3650 S. WADSWORTH BLVD,Lakewood,CO,80235
28TH STREET WINE PARTNERS LLC,BOULDER WINE & SPIRITS,Liquor Store (city), 08/17/2016,3325 28TH ST,Boulder,CO,803021410
291 LLC,DISTILLERY 291 LLC,Manufacturer (distillery & rectifier), 06/14/2016,1647 S TEJON ST,Colorado Springs,CO,80906
291 LLC,DISTILLERY 291 LLC,Wholesale (vinous & spirituous), 06/14/2016,1647 S TEJON ST,Colorado Springs,CO,80906
2993 ENTERTAINMENT LLC,CENTRAL STATION ON NORTH AVE,Tavern (county), 10/09/2015,2993 NORTH AVE,Grand Junction,CO,81504
29th STREET ENERGY CAFE LLC,29th STREET ENERGY CAFE,Hotel & Restaurant (city), 12/17/2015,1821 30TH ST,BOULDER,CO,803011069
2LT INC,MAMA ROSE'S RESTAURANT,Hotel & Restaurant (city), 08/28/2016,338 E ELKHORN AVE,Estes Park,CO,80517
2M2YMBAKER INC,OLD TOWN PUB THE,Hotel & Restaurant (city), 03/11/2016,"600 LINCOLN AVENUE, 1ST FLOOR",Steamboat Springs,CO,80487
3 CHICKS KITCHEN LLC,3 CHICKS KITCHEN,Hotel & Restaurant (city), 05/13/2016,2420 E MIDWAY UNIT A&B,BROOMFIELD,CO,80234
3 HUNDRED LLC,3 HUNDRED DAYS DISTILLING,Wholesale (vinous & spirituous), 07/13/2016,279 BEACON LITE RD,Monument,CO,80132
3 HUNDRED LLC,3 HUNDRED DAYS DISTILLING,Manufacturer (distillery & rectifier), 07/13/2015,279 BEACON LITE RD,Monument,CO,80132
3 LITTLE BEARS INC,BEARS INN BED & BREAKFAST,Bed & Breakfast Permit, 04/28/2016,27425 SPRUCE LANE,Evergreen,CO,804395451
3 MARGARITAS XIX INC,3 MARGARITAS XIX,Hotel & Restaurant (city), 09/05/2015,5130 S WADSWORTH BLVD,LAKEWOOD,CO,801232218
3 MARGARITAS XVI INC,3 MARGARITAS XVI,Hotel & Restaurant (city), 08/15/2015,592 S MCCASLIN BLVD,LOUISVILLE,CO,800279419
3 MARGARITAS XVIIIINC,3 MARGARITAS XVIII,Hotel & Restaurant (city), 01/17/2016,3202 E 104TH AVENUE,THORNTON,CO,80229
3 MARGARITAS XX INC,3 MARGARITAS XX,Hotel & Restaurant (city), 08/31/2015,2319 8TH AVE,Greeley,CO,806317032
"3 MARGARITAS XXX, INC",3 MARGARITAS XXX,Hotel & Restaurant (city), 05/26/2016,3390 28TH ST,Boulder,CO,803011411
3 ROCK LIQUORS INC,3 ROCK LIQUORS INC,Liquor Store (city), 11/16/2015,6160 FIRESTONE BLVD #110,FIRESTONE,CO,805206427
3 SAINT PAUL LLC,CUCINA COLORE,Hotel & Restaurant (city), 01/20/2016,3041 E 3RD AVE,DENVER,CO,802065102
3 SJ LLC,JOHNNY B GOOD'S DINER,Hotel & Restaurant (city), 06/01/2016,738 LINCOLN AVE,Steamboat Springs,CO,804775000
3 WOLVES COMPANY LLC,THE WOLVES DEN EVENT CENTER,Beer & Wine (county), 04/21/2016,27534 US HIGHWAY 287,Lamar,CO,81052
300 COLORADO F&B LLC,CLARION INN AND SUITES,Hotel & Restaurant (city), 05/20/2016,300 SOUTH COLORADO HIGHWAY 13,Craig,CO,81625
300 SUNS CO,300 SUNS BREWING,Manufacturer (brewery), 09/18/2015,335 1ST AVE UNIT C,Longmont,CO,80501
300 SUNS CO,300 SUNS BREWING,Wholesale Beer (malt liquor), 09/18/2015,300 SUNS BREWING,Longmont,CO,80501
3053 RESTAURANT GROUP LLC,LODO'S BAR & GRILL WESTMINSTER,Hotel & Restaurant (city), 02/26/2016,3053 W104 AVE,WESTMINSTER,CO,80031
305-7 S. MILL ST. LLC,JIMMY'S BODEGA,Hotel & Restaurant (city), 10/08/2015,"305-7 MILL ST UNIT B,C",Aspen,CO,81611
3126 EVENTS LLC,BAR FAUSTO,Hotel & Restaurant (city), 06/10/2016,3126 LARIMER ST,Denver,CO,80205
314 MAIN LLC,DREAM CAFE,Hotel & Restaurant (city), 10/13/2015,314 MAIN STREET,GRAND JUNCTION,CO,815012413
3-18 INC AND 7 ELEVEN INC,7 ELEVEN STORE 21494A,3.2% Beer Off Premises (city), 02/10/2016,3005 S PEORIA ST,Aurora,CO,800145713
