parentCompany,businessName,businessType,expires,street,city,state,zipCode
LLBH LLC,SPRINGS RANCH GRILL,Hotel & Restaurant / Optional (city), 07/17/2016,3525 TUTT BLVD,Colorado Springs,CO,809222504
LLENROC LIQUORS LLC,CENTER TOWN LIQUORS,Liquor Store (city), 04/07/2016,136 SOUTH MESA,Fruita,CO,815212517
LLOCO PIZZA AND PASTA LLC,ANTHONY'S PIZZA & PASTA,Beer & Wine (city), 06/14/2016,2321 CLOVER BASIN DR,LONGMONT,CO,805037603
LMF HOLDINGS LLC,FREESTYLE PIZZA,Beer & Wine (city), 11/06/2015,4668 SOUTH YOSEMITE ST,Englewood,CO,80111
LMMC LLC,GOPHER LIQUORS,Liquor Store (city), 07/19/2016,5929 S UNIVERSITY BLVD,Greenwood Village,CO,801212835
LMR LIQUORS LLC,MISSION POINT LIQUOR,Liquor Store (city), 01/06/2016,3051 JETWING DR,Colorado Springs,CO,809163270
LNE INC & 7 ELEVEN INC,7-ELEVEN 29508A,3.2% Beer Off Premises (city), 03/31/2016,3131 S BROADWAY,ENGLEWOOD,CO,801132423
LO STELLA LLC,LO STELLA RISTORANTE,Hotel & Restaurant (city), 03/05/2016,1135 BANNOCK ST SUITE 102,Denver,CO,80204
L-O VAIL HOTEL INC,ARIA SPA & CLUB,Hotel & Restaurant (city), 11/19/2015,1290 WESTHAVEN DR,Vail,CO,816574394
L-O VAIL HOTEL INC,VAIL CASCADE RESORT,Hotel & Restaurant (city), 02/18/2016,1300 WESTHAVEN DR,Vail,CO,816573859
LOADING DOCK RESTRNT & TAVERN INC,FAT BOY'S BAR AND GRILL,Hotel & Restaurant (city), 12/22/2015,10660 E ALAMEDA AVE,AURORA,CO,800121016
LOAF N JUG,LOAF N JUG,Master File (Business),,442 KEELER PARKWAY,Pueblo,CO,81001
LOCAL BOYS VODKA LLC,COVODKACO,Wholesale (vinous & spirituous), 09/18/2015,14704 E 33RD PLACE UNIT C&B ASL H b-1,Aurora,CO,80011
LOCAL DISTILLING INC,LOCAL DISTILLING,Manufacturer (distillery & rectifier), 03/04/2016,417-419 VIOLET ST,Golden,CO,804016713
LOCAL FLAVOR INC,CIRCLE R BAR,Beer & Wine (city), 12/27/2015,202 SOUTH SHARP STREET,Oak Creek,CO,80467
LOCAL JOES VAIL LLC,LOCAL JOES PIZZA,Hotel & Restaurant (city), 12/09/2015,1000 LIONS RIDGE LOOP 2A,Vail,CO,816574412
LOCAL LLC THE,AGAVE TACO BAR,Hotel & Restaurant (city), 01/23/2016,2217 E MISSISSIPPI ST,Denver,CO,80210
LOCAL SPIRITS INC,LOCAL SPIRITS,Liquor Store (city), 06/06/2016,435 E MAIN ST,ASPEN,CO,816111931
LOCALS BARBERSHOP COS LLC,LOCAL'S BARBER SHOP,Beer & Wine (city), 01/08/2016,5230 N NEVADA AVE STE 120,COLORADO SPRINGS,CO,809188603
LOCALS FOOD & DRINK LLC,THE RABBIT HOLE,Hotel & Restaurant (city), 06/08/2016,101 N TEJON ST #10,COLORADO SPRINGS,CO,809031448
LOCAL'S INC,LOCAL'S GRILL INC,Hotel & Restaurant (city), 04/16/2016,153 E ELKHORN AVE,Estes Park,CO,80517
LOCALS LIQUORS LLC,LOCAL LIQUORS,Liquor Store (city), 10/26/2015,358 BLUE RIVER PKWY UNIT H,Silverthorne,CO,80498
LOCANDA DEL BORGO LLC,LOCANDA DEL BORGO,Hotel & Restaurant (city), 08/26/2015,5575 E 3RD AVENUE,Denver,CO,802205878
LOCHBUIE LIQUOR INC,LOCHBUIE LIQUOR INC,Liquor Store (city), 06/17/2016,0100 WELD CNTY RD 37,Brighton,CO,806019524
LOCK DOWN PROMOTIONS LLC,VAULT THE,Tavern (city), 01/08/2016,970 YUMA ST,Denver,CO,802043836
LOCKE KAREN,OLD WORLD IMPORTS LLC,Importer (vinous & spirituous), 04/04/2016,1565 SE STONEBRIDGE DR,Cedaredge,CO,814139246
LOCKWOOD PHIL J,SOJOURNER IMPORTS,Importer (vinous & spirituous), 02/18/2016,1970 ALKIRE STREET,GOLDEN,CO,804013524
LOCO INC,LOCO FOOD STORE #14,3.2% Beer Off Premises (city), 02/26/2016,2902 PATTERSON ROAD,Grand Junction,CO,815045483
LOCO INC,LOCO FOOD STORE NO 15,3.2% Beer Off Premises (city), 07/22/2016,722 HORIZON DR,Grand Junction,CO,815063907
LOCO INC,LOCO FOOD STORE #13,3.2% Beer Off Premises (county), 12/15/2015,573 32 ROAD,Clifton,CO,815207624
LOCO INC,LOCO FOOD STORE NO12,3.2% Beer Off Premises (city), 11/07/2015,107 GRAND AVE,Grand Junction,CO,815012243
LOCO INC,LOCO TRAVEL STOP,3.2% Beer Off Premises (city), 01/22/2016,555 W RAPTOR RD,FRUITA,CO,815213011
LOCO INC,LOCO FOOD STORE NO 11,3.2% Beer Off Premises (city), 04/22/2016,1904 N 12TH ST,Grand Junction,CO,815012912
LOCO INC,LOCO FOOD STORE NO16,3.2% Beer Off Premises (city), 10/02/2015,2249 BROADWAY,Grand Junction,CO,815031157
LOCO LIQUORS INC,LOCO WINES & LIQUORS,Liquor Store (city), 11/17/2015,125 S SANTA FE,PUEBLO,CO,810034218
LOCOLEE OWNED LLC,SCARLET INN & TAVERN,Tavern (city), 05/31/2016,326 HARRISON AVE,LEADVILLE,CO,804613612
LOCOMOTIVE LIQUORS LLC,LOCOMOTIVE LIQUORS,Liquor Store (city), 07/07/2016,2228 W 1ST,Loveland,CO,80537
LODGE AT SAN ISABEL INC THE,LODGE AT SAN ISABEL INC THE,3.2% Beer Off Premises (county), 02/28/2016,59 CO RD 371,WESTCLIFFE,CO,81252
LODGE AT SAN ISABEL INC THE,"LODGE AT SAN ISABEL INCORPORATED, THE",Hotel & Restaurant (county), 05/05/2016,59 COUNTY RD 371,WESTCLIFFE,CO,81252
LODGE AT THREE FORKSRANCH INC,LODGE AT THREE FORKS RANCH,Hotel & Restaurant / Optional (county), 06/09/2016,74419 ROUTT COUNTY RD 129,STEAMBOAT SPRINGS,CO,80477
LODGE CASINO LLC THE,LODGE CASINO AT BLACK HAWK THE,Hotel & Restaurant (city), 05/14/2016,240 MAIN ST,Black Hawk,CO,80422
LODO LIQUOR & WINE LLC,MR B'S WINE & SPIRITS,Liquor Store (city), 08/26/2015,2101 MARKET ST STE A,Denver,CO,802052024
LODO RESTAURANT GROUP INC,LODO'S BAR & GRILL/HOUSE OF MIRRORS,Hotel & Restaurant (city), 06/07/2016,1946 MARKET ST,Denver,CO,802021420
LOFTY CONCEPTS INC,ATTIC BAR & BISTRO THE,Hotel & Restaurant (city), 08/04/2015,949 WALNUT ST,Boulder,CO,803025113
LOG CABIN EATERY LLC,LOG CABIN CAFE,Hotel & Restaurant (city), 01/20/2016,121 MAIN ST,Frisco,CO,80443
LOG CABIN LIQUORS LLC,BERTHOUD LOG CABIN LIQUOR,Liquor Store (city), 03/18/2016,443 MOUNTAIN AVE,Berthoud,CO,805131256
LOGAN LIQUORS LTD,LOGAN LIQUORS,Liquor Store (city), 10/22/2015,100 S LOGAN ST,DENVER,CO,802091811
LOHI BEER GARDEN LLC,RECESS,Hotel & Restaurant (city), 11/18/2015,2715 17TH ST SUITE 103,Denver,CO,80210
LOI CHAY DO NU TO,MAY WAH CHINESE & VIETNAMESE RESTRNT,Hotel & Restaurant (city), 07/17/2016,2500 BASELINE RD,BOULDER,CO,803023324
LOJTM LLC,THE SOCIAL,Hotel & Restaurant (county), 08/01/2016,872 W HAPPY CANYON ROAD STE 100,Castle Rock,CO,80108
LOLA INDUSTRIES LLC,VILLA RESTAURANT THE,Hotel & Restaurant (city), 11/16/2015,75 HWY 105,PALMER LAKE,CO,801339052
LOMAX INVESTMENT GROUP LLC,RACK 'EM BILLIARDS & SPORTS BAR,Tavern (city), 05/06/2016,1919 S HAVANA STREET,Aurora,CO,80014
LOMBARDI DOLORES,LOMBARDI'S ROMAN GARDEN,Hotel & Restaurant (city), 10/29/2015,3006 W 72ND AVE,Westminster,CO,800305434
LOMBARDO RYAN E,SPIRITS AT THE CORNER,Liquor Store (city), 04/14/2016,"9181 SPRUCE MTN RD, UNIT C",Larkspur,CO,80118
LONE STAR LIQUOR LLC,LONE STAR LIQUOR,Liquor Store (city), 03/19/2016,2724 11TH AVE,Greeley,CO,80631
LONE STAR STEAKHOUSE & SALOON OF COLO INC,LONE STAR STEAKHOUSE,Hotel & Restaurant (city), 12/06/2015,305 PAVILLIONS PLACE,Brighton,CO,80601
LONE STAR STEAKHOUSE& SALOON OF COLO INC,LONE STAR STEAKHOUSE & SALOON,Hotel & Restaurant (city), 12/11/2015,5330 STONE CREEK CIR,LOVELAND,CO,805388827
LONE STAR STEAKHOUSE& SALOON OF COLO INC,LONE STAR STEAKHOUSE & SALOON,Hotel & Restaurant (city), 04/25/2016,11905 W 6TH AVE,LAKEWOOD,CO,80215
LONE STAR VINO (DENVER) LLC,WILD WOMEN WINERY,Limited Winery, 07/02/2016,1660 CHAMPA,Denver,CO,802022703
LONE TREE BREWING COMPANY LLC,LONE TREE BREWING COMPANY,Manufacturer (brewery), 10/23/2015,8222 PARK MEADOWS DR,Lone Tree,CO,801242746
LONE TREE BREWING COMPANY LLC,LONE TREE BREWING COMPANY,Wholesale Beer (malt liquor), 10/23/2015,8222 PARK MEADOWS DR,LONE TREE,CO,801242746
LONE TREE CITY OF,LONE TREE ARTS CENTER,Tavern (city), 07/07/2015,10075 COMMONS ST,Lone Tree,CO,801245547
LONE TREE GRILLE LLC,LONE TREE GRILLE,Hotel & Restaurant (city), 09/09/2015,9070 MAXIMUS DR,Lone Tree,CO,801246730
"LONE TREE HOOTERS, INC.",HOOTERS,Hotel & Restaurant (city), 05/25/2016,"8334 SOUTH WILLOW STREET, SUITE G",Lone Tree,CO,80124
LONE TREE RESTAURANTS LLC,BACCO TRATTORIA BOULDER,Hotel & Restaurant (city), 01/27/2016,1200 YARMOUTH AVE UNIT A,BOULDER,CO,803044803
LONESTAR LLC,VAQUERAS NIGHT CLUB,Tavern (county), 01/24/2016,10763 TURNER BLVD #1&#2,LONGMONT,CO,805016249
LONG AND CUN INC,CHINA VILLAGE CHINESE RESTAURANT,Hotel & Restaurant (county), 09/29/2016,60693 HWY 285,Bailey,CO,80421
LONG FENG INC,FIRST DRAGON,Beer & Wine (city), 11/29/2015,126 N INTEROCEAN AVE,HOLYOKE,CO,807341013
LONG FONG INC,WOODGLEN LIQUORS,Liquor Store (city), 09/06/2015,3901 E 112TH AVE,Thornton,CO,802332566
LONG WILLIAM I,CW IMPORTS,Importer (vinous & spirituous), 01/04/2016,3009 MADISON AVE K 321,Boulder,CO,803032013
"LONGMEADOW GAME RESORT AND EVENT CENTER, LLC",LONGMEADOW GAME RESORT AND EVENT CENTER,Hotel & Restaurant / Optional (county), 04/16/2016,8604 COUNTY ROAD 6,Wiggins,CO,80654
LONGMONT COUNCIL FOR THE ARTS,MUSE GALLERY,Art Gallery Permit, 10/28/2015,356 MAIN ST,Longmont,CO,80501
LONGMONT INDOOR SOCCER INC,LONGMONT INDOOR SOCCER,Beer & Wine (city), 10/16/2015,795 S SHERMAN ST UNIT 8,Longmont,CO,80501
LONGMONT LIQUORS,LONGMONT LIQUORS,Liquor Store (city), 08/13/2015,137 MAIN STREET,Longmont,CO,80501
LONGMONT LODGE #1548 LOYAL ORDER OF MOOSE,LOYAL ORDER OF MOOSE LONGMONT LODGE 1548,Club License (city), 12/31/2015,2200 PRATT ST,Longmont,CO,805011468
"LONGMONT WINE AND SPIRITS, LLC",FRANCIS STREET LIQUORS,Liquor Store (city), 06/11/2016,1147 FRANCIS STREET,Longmont,CO,80501
LONGSHOT ENTERPRISESLLC,LONGSHOT RESTAURANT & LOUNGE,Hotel & Restaurant (city), 04/17/2016,3665 S FEDERAL BLVD,SHERIDAN,CO,801103274
LOOP AT MANITOU INC THE,THE LOOP,Hotel & Restaurant (city), 11/29/2015,965 MANITOU AVE,Manitou Springs,CO,808291758
LOOP LIQUOR LLC,LOOP LIQUOR LLC,Liquor Store (city), 09/09/2015,1430 CIPRIANI LOOP,Monument,CO,80132
LOPEZ CANDELARIO LOPES MARIA,EL ALAZAN MEXICAN RESTAURANT,Hotel & Restaurant (city), 07/10/2015,1925 FREMONT DR,Canon City,CO,81212
LOPEZ LUIS A II,SANTA FE TRAIL HOPS & VINES,Liquor Store (city), 03/02/2016,1530 SANTA FE TRAIL DR,TRINIDAD,CO,810823602
LOPEZ MARTIN,CALVILLOS COMFORT MEX KITCHEN,Hotel & Restaurant (city), 03/19/2016,580 GRAND AVE,Del Norte,CO,81132
LOPEZ MONTIEL INC,PUEBLO VIEJO FAMILY MEXICAN RESTAURANT,Hotel & Restaurant (city), 05/13/2016,185 N COLLEGE AVE,Fort Collins,CO,805244448
LOPEZ ROSA N,ROSA'S CANTINA,Tavern (city), 01/22/2016,620 MAIN ST,Walsenburg,CO,810892136
LOS 3 MEXICANOS INC,PUEBLO VIEJO FAMILY MEXICAN RESTAURANT,Hotel & Restaurant (city), 04/25/2016,5598 N ACADEMY BLVD,COLORADO SPRINGS,CO,809183616
LOS AGAVEROS INC,PUEBLO VIEJO FAMILY MEXICAN RESTAURANT,Hotel & Restaurant (city), 09/08/2015,4630 ROYAL VISTA CIR #1&2,Windsor,CO,805509371
LOS AMIGOS INC,LOS AMIGOS MEXICAN FOOD,Hotel & Restaurant (city), 08/01/2016,109 S 6TH ST,Kremmling,CO,80459
LOS AMIGOS INC,LOS AMIGOS RESTAURANT,Hotel & Restaurant (city), 11/05/2015,185 E AGATE AVENUE,Granby,CO,80446
LOS ARCOS MEXICAN RESTAURANTS INC,LOS ARCOS MEXICAN RESTAURANT,Hotel & Restaurant (city), 08/26/2016,4991 W 80TH AVE,Westminster,CO,800304446
LOS BERNAL LLC,CHATO'S MEXICAN RESTAURANT,Hotel & Restaurant (city), 06/20/2016,230 COUNTRY CENTER DR,Pagosa Springs,CO,81147
LOS CABOS RESTAURANT II INC,LOS CABOS RESTAURANT,Hotel & Restaurant (city), 02/08/2016,1525 CHAMPA ST,Denver,CO,802022908
LOS CARBONCITOS INC,LOS CARBONCITOS,Hotel & Restaurant (city), 06/10/2016,720 SHERIDAN BLVD,Denver,CO,80214
LOS CAZADORES LLC,LOS CAZADORES,Hotel & Restaurant (county), 11/26/2015,60 EL JEBEL RD 101,El Jebel,CO,81623
LOS COMPADRES INC,SOL DE JALISCO MEXICAN RESTAURANT,Hotel & Restaurant (city), 05/03/2016,1345 WATER VALLEY PKWY,Windsor,CO,805506225
LOS DOS POTRILLOS LLC,LOS DOS POTRILLOS MEXICAN RESTAURANT II,Hotel & Restaurant (county), 09/12/2015,10065 W SAN JUAN WAY,Littleton,CO,801276331
LOS DOS POTRILLOS LLC,LOS DOS POTRILLOS MEXICAN RESTAURANT,Hotel & Restaurant (city), 04/14/2016,8251 S HOLLY ST,Centennial,CO,801224003
LOS GARCIAS INC,TEQUILAS,Hotel & Restaurant (city), 06/05/2016,439 SAN JUAN ST,Pagosa Springs,CO,81147
LOS HITOS INC,BEAN BANDIT,Hotel & Restaurant (city), 10/03/2015,320 N CIRCLE,COLORADO SPRINGS,CO,809096231
LOS JIMADORES INC,LOS JIMADORES,Hotel & Restaurant (city), 08/17/2015,275 S 4TH AVE,Brighton,CO,806012033
LOS MOLCAJETES TAQUERIA LLC,LOS MOLCAJETES TAQUERIA,Hotel & Restaurant (city), 09/20/2015,100 KNOX CT UNIT A,Denver,CO,802191438
LOS NOGALES RESTAURANT INC,LOS NOGALES RESTAURANT INC,Hotel & Restaurant (city), 11/28/2015,8919 N WASHINGTON,THORNTON,CO,802294536
LOS PASTES LLC,LOS PASTES LLC,Beer & Wine (city), 09/02/2015,3140 S PARKER RD #13,Aurora,CO,80014
LOS POTRILLOS INC,AZTECAS FAMILY MEXICAN RESTAURANT,Hotel & Restaurant (city), 12/07/2015,603 HWY 50,Grand Junction,CO,815031909
LOS REYES RESTAURANT INC,LOS REYES RESTAURANT,Hotel & Restaurant (city), 02/13/2016,811 S 7TH ST,GRAND JUNCTION,CO,815017738
LOS TARASCOS INC,LOS TARASCOS,Hotel & Restaurant (city), 05/05/2016,622 S COLLEGE AVE,FT COLLINS,CO,805243004
LOS TORITOS ENTERPRISES INC,LOS TORITOS #2,Hotel & Restaurant (city), 07/14/2016,9405 E COLFAX AVE,Aurora,CO,800101921
LOS TRES LEON INC,EL CARBONCITO,Hotel & Restaurant (city), 11/12/2015,15210 E 6TH AVE UNIT 6 & 7,Aurora,CO,80011
LOS VERANOS INC,3 MARGARITAS,Hotel & Restaurant (city), 03/05/2016,530 E BROMLEY LN,BRIGHTON,CO,806013298
LOS VERDES III LLC,CHERRY CREEK COUNTRY CLUB,Hotel & Restaurant / Optional (county), 07/02/2015,2405 S YOSEMITE STREET,Denver,CO,80231
LOS VIEJOS LLC,740 FRONT,Hotel & Restaurant (city), 06/07/2016,740 FRONT STREET,Louisville,CO,80027
LOS VOLCANES CORPORATION,LOS VOLCANES,Hotel & Restaurant (city), 08/24/2015,10471 S PARKER RD 6B,Parker,CO,801349017
LOS VOLCANES CORPORATION,LOS VOLCANES #2,Hotel & Restaurant (city), 08/14/2015,225 W KIOWA,Elizabeth,CO,801077934
LOST CAJUN LLC THE,THE LOST CAJUN,Beer & Wine (city), 12/21/2015,204 MAIN ST,Frisco,CO,80443
LOST CAJUN THE LLC,THE LOST CAJUN,Hotel & Restaurant (city), 12/18/2015,411 S MAIN ST UNIT #4,Breckenridge,CO,80424
LOST COWBOY INC,CECIL'S,Tavern (city), 10/15/2015,1050 W EVANS AVE,Denver,CO,80223
LOST DOG LLC,LOST DOG BAR AND LOUNGE,Hotel & Restaurant (city), 04/11/2016,1150 B MAIN AVE,DURANGO,CO,813015379
LOST DOG PIZZA LLC,BROWN DOG PIZZA,Hotel & Restaurant (city), 06/07/2016,110 EAST COLORADO,Telluride,CO,81435
LOST FOOTPRINTS LLC,BIVOUAC THE,Beer & Wine (city), 08/26/2016,9511 HIGHWAY 9,Breckenridge,CO,80424
LOST HIGHWAY BREWING COMPANY LLC,LOST HIGHWAY BREWING COMPANY,Brew Pub (city), 11/29/2015,520-526 E COLFAX AVE,DENVER,CO,802032018
LOST PLANET INC THE,ROO BAR THE,Hotel & Restaurant (city), 07/10/2015,3480 PARK AVENUE WEST #A-B,Denver,CO,802165102
LOTI INC,HUNGRY MOOSE BAR  & GRILL,Tavern (city), 10/14/2015,1260 BLAIR STREET,Silverton,CO,81433
LOTS A LIQUOR & TOBACCO INC,LOTS A LIQUOR & TOBACCO,Liquor Store (city), 03/07/2016,2308 N WAHSATCH AVE,Colorado Springs,CO,809076941
LOTUS CONCEPTS VENTURES CORP,CHLOE,Tavern (city), 07/10/2015,1445 MARKET ST #150,DENVER,CO,802021728
LOTUS PETAL INC,HONGA'S LOTUS PETAL,Hotel & Restaurant (city), 06/04/2016,137 EAST COLORADO AVE,TELLURIDE,CO,81435
LOTUS RESTAURANT GROUP II  LLC,RICE BISTRO & SUSHI,Hotel & Restaurant (city), 06/12/2015,7301 S SANTA FE DRIVE  #410,Littleton,CO,80120
LOTUS RESTAURANTGROUP LLC,RICE BISTRO & SUSHI,Hotel & Restaurant (city), 02/05/2016,5922 S HOLLY ST,GREENWOOD VILLAGE,CO,801114221
LOU?S FOOD BAR INC,LOU'S FOOD BAR,Tavern (city), 11/01/2015,1851 W 38TH AVE,Denver,CO,802112224
LOUIE'S LIQUOR INC,LOUIE'S LIQUOR,Liquor Store (city), 11/30/2015,400 W CENTERAL,Wiggins,CO,80654
LOUISIANA REDNECK BBQ INC,FAT DADDY'S LOUISIANA BBQ,Hotel & Restaurant (city), 12/08/2015,6995 LEXINGTON DR,Colorado Springs,CO,80918
LOUMIRNA LLC,GOLDEN FLAME HOT WINGS,Beer & Wine (city), 06/23/2016,"16524 KEYSTONE BLVD,  # D-1",Parker,CO,80134
LOUNGE 5280 LLC,LOUNGE 5280 LLC CONCOURSE B,Hotel & Restaurant (city), 04/26/2016,8600 PENA BLVD,DENVER,CO,802496205
LOUNGE UNSPA LLC,SHE SHE NAIL & WAX LOUNGE,Beer & Wine (city), 11/23/2015,2601 S LEMAY AVE #26,Fort Collins,CO,80525
LOVE IN BRECK LLC,CROWN THE,Tavern (city), 11/03/2015,215 S MAIN ST #L,Breckenridge,CO,80424
LOVE' TRAVEL STOPS & COUNTRY STORES INC,LOVE'S TRAVEL STOPS #517,3.2% Beer Off Premises (city), 04/01/2016,748 22 ROAD,Grand Junction,CO,81505
LOVE?S TRAVEL STOPS & COUNTRY STORES INC,LOVE'S COUNTRY STORE #23,3.2% Beer Off Premises (city), 01/05/2016,615 NORTH MAIN,Lamar,CO,810522233
LOVELAND BLACK STEER RESTAURANT INC,BLACK STEER,Hotel & Restaurant (city), 12/27/2015,436 N LINCOLN AVE,LOVELAND,CO,805375618
LOVELAND CATERING CO INC,EMBASSY SUITES LOVELAND HOTEL SPA,Hotel & Restaurant / Optional (city), 02/23/2016,4705 CLYDESDALE PKWY,Loveland,CO,805389347
LOVELAND GOLF CENTER INC,OLDE COURSE SNACK BAR,Optional Premises (city), 02/28/2016,2115 W 29TH,Loveland,CO,805382404
LOVELAND SPIRITS INC,LOVELAND LIQUOR,Liquor Store (city), 10/31/2015,639 N CLEVELAND AVE,Loveland,CO,805375511
LOVE'S TRAVEL STOPS  & COUNTRY STORES INC,LOVES COUNTRY STORE #30,3.2% Beer Off Premises (city), 09/12/2015,1537 GRANDE AVE,Monte Vista,CO,811441318
LOVE'S TRAVEL STOPS & COUNTRY STORES INC,LOVE'S TRAVEL STOP #377,3.2% Beer Off Premises (city), 07/15/2016,201 E COLORADO HWY 52,Hudson,CO,80642
LOVE'S TRAVEL STOPS & COUNTRY STORES INC,LOVES COUNTRY STORE NO 12,3.2% Beer Off Premises (city), 02/16/2016,308 E 1ST ST,La Junta,CO,810501701
LOVE'S TRAVEL STOPS & COUNTRY STORES INC,LOVE'S TRAVEL STOP #226,3.2% Beer Off Premises (city), 04/14/2016,6470 N ELIZABETH ST,PUEBLO,CO,81008
LOVE'S TRAVEL STOPS & COUNTRY STORES INC,LOVE'S TRAVEL STOP #300,3.2% Beer Off Premises (city), 09/27/2016,1191 S 1ST ST,Bennett,CO,801027908
LOVE'S TRAVEL STOPS & COUNTRY STORES INC,LOVE'S COUNTRY STORE #7,3.2% Beer Off Premises (city), 04/25/2016,108 S 12TH,Gunnison,CO,812303102
LOVE'S TRAVEL STOPS & COUNTRY STORES INC,LOVES COUNTRY STORE NO 37,3.2% Beer Off Premises (city), 10/24/2015,1100 MAIN ST,Springfield,CO,810731829
LOVE'S TRAVEL STOPS & COUNTRY STORES INC,LOVES COUNTRY STORE NO 38,3.2% Beer Off Premises (city), 06/19/2016,301 E OLIVE ST,Lamar,CO,810522840
LOVE'S TRAVEL STOPS & COUNTRY STORES INC,LOVE'S COUNTRY STORE #357,3.2% Beer Off Premises (city), 08/12/2016,5505 TRAVEL PLAZA DR,FOUNTAIN,CO,80817
"LOWDOWN BREWERY AND PIZZERIA, LLC",LOWDOWN BREWERY AND PIZZERIA,Brew Pub (city), 01/29/2016,"800 LINCOLN ST, UNIT 2",Denver,CO,80203
LOWER48 ARAPAHOE SQUARE LLC,LOWER 48 KITCHEN/SERVICE BAR,Hotel & Restaurant (city), 12/05/2015,2020 LAWRENCE ST STE A,Denver,CO,80205
LOWRY LIQUORS LLC,LOWRY LIQUORS,Liquor Store (city), 12/18/2015,200 QUEBEC ST BLDG 200 STE 101,DENVER,CO,802307144
LOWRY TAQUERIA LLC,NORTH COUNTY,Hotel & Restaurant (city), 11/18/2015,94 RAMPART WAY,Denver,CO,80230
LOYAL BROTHER?S INC,LOYAL BROTHER'S,Tavern (city), 08/12/2015,813 GRAND AVENUE,Glenwood Springs,CO,816013403
LOYAL ORDER OF MOOSE,MORGAN COUNTY LODGE NO 1857,Club License (city), 12/31/2015,2310 W EDISON ST,BRUSH,CO,807231642
LOYAL ORDER OF MOOSE,NUCLA LODGE NO 635,Club License (city), 12/31/2015,1045 MAIN ST,NUCLA,CO,814240000
LOYAL ORDER OF MOOSE LODGE NO 1345,LOYAL ORDER OF MOOSE LODGE NO 1345,Club License (city), 09/24/2015,133 E 3RD ST,Rifle,CO,816502317
LOYAL ORDER OF MOOSE LODGE NO 909,LOYAL ORDER OF MOOSE LODGE NO909,Club License (city), 12/31/2015,3456 11TH AVE,EVANS,CO,806202102
LOYAL ORDER OF MOOSE LOVELAND LODGE 484,LOYAL ORDER OF MOOSE LOVELAND LODGE 484,Club License (city), 04/18/2016,1408 MORNING DR,LOVELAND,CO,805384404
LOYAL ORDER OF MOOSEAURORA LODGE 1824,LOYAL ORDER OF MOOSE AURORA LODGE 1824,Club License (city), 12/31/2015,2390 DAYTON,AURORA,CO,800101014
LOYAL ORDER OF MOOSEGRAND JCTN #270,LOYAL ORDER OF MOOSE GRAND JCTN LODGE 270,Club License (city), 05/18/2016,567 25 1/2 RD,GRAND JUNCTION,CO,815056929
LOYAL T'S LLC,BAR V BY CLUB Q,Tavern (city), 04/12/2016,17 & 19 E KIOWA,COLORADO SPRINGS,CO,80903
LOYDE NEAL LLC,HELENS LIQUORS,Liquor Store (city), 02/09/2016,523 MAIN ST,ANTONITO,CO,81120
LS AND PARTNERS @DEN LLC,STEVE'S SNAPPIN DOGS,Hotel & Restaurant (city), 03/16/2016,8900 PENA BLVD UNIT #41,Denver,CO,80249
LSF5 COWBOY HOLDINGS LLC,LONE STAR STEAKHOUSE & SALOON,Hotel & Restaurant (city), 06/25/2016,4817 S WADSWORTH BLVD,Denver,CO,80123
LSK CORPORATION,SILLA RESTAURANT,Hotel & Restaurant (city), 08/31/2015,3005 S PEORIA ST UNIT E,Aurora,CO,80014
LSL LLC,MELTING POT RESTAURANT LOUISVILLE,Hotel & Restaurant (city), 01/08/2016,732 MAIN ST,Louisville,CO,800271830
L-SONG INC,BEIJIN TOKYO,Hotel & Restaurant (city), 06/12/2016,1194 HWY 133,Carbondale,CO,816231838
LSREF3/AH CHICAGO TENANT LLC & AIMBRIDGE HOSPITALITY LLC, HYATT PLACE,Hotel & Restaurant (city), 05/06/2016,16250 EAST 40TH AVENUE,Aurora,CO,80011
LTF CLUB OPERATIONS COMPANY INC,LIFE TIME FITNESS,Beer & Wine (city), 10/03/2015,5100 E DRY CREEK RD,Centennial,CO,80122
LTF CLUB OPERATIONS COMPANY INC,LIFE TIME FITNESS,Beer & Wine (city), 06/22/2016,5000 E DRY CREEK ROAD,Centennial,CO,80122
LTF CLUB OPERATIONS COMPANY INC,LIFE TIME FITNESS,Beer & Wine (city), 07/24/2016,4410 ROYAL PINE DR,Colorado Springs,CO,80920
LTITSNO LLC,WILDCAT CANYON LIQUORS,Liquor Store (county), 11/22/2015,20177 US HWY 160 W,Durango,CO,81301
LU & ASSOCIATES INC,ROSE HILL WINE & SPIRITS,Liquor Store (city), 06/01/2016,1089 13TH STREET,Boulder,CO,803027305
LU INC,LULU ASIAN BISTRO,Hotel & Restaurant (city), 09/05/2015,117 S COLLEGE,Fort Collins,CO,805242808
LUCA INC,LUCA D'ITALIA,Hotel & Restaurant (city), 02/03/2016,711 GRANT STREET,Denver,CO,802033508
LUCAS REZENE K,BROOMFIELD LIQUORS,Liquor Store (city), 06/11/2016,300 NICKEL ST #16,Broomfield,CO,800202097
LUCERO ENTERPRISESINC,TOWER LIQUORS,Liquor Store (city), 02/25/2016,18611 GREEN VALLEY RANCH BLVD #113,Denver,CO,80249
LUCERO JERRY,OLD MISSION DELICIOSO,Hotel & Restaurant (city), 05/01/2016,1905 FREMONT DR,CANON CITY,CO,812122415
LUCERO JERRY LUCERO MARY A,LA MISSION BURRITO,Hotel & Restaurant (city), 06/11/2016,379 5TH ST,Calhan,CO,80808
