parentCompany,businessName,businessType,expires,street,city,state,zip,Latitude,Longitude,Accuracy Score,Street,City,State,County,Zip
H T & T LIQUORS INC,H T & T LIQUORS,Liquor Store (city), 03/10/2016,6415 SHERIDAN,Arvada,CO,800034749,39.813011431373,-105.05325013725,0.9,6415 Sheridan Blvd,Arvada,CO,Jefferson County,80003
HAN KYE T,HIDDEN LAKE LIQUOR,Liquor Store (city), 09/10/2015,6790 SHERIDAN BLVD #B,Arvada,CO,800036300,39.819926638298,-105.0532692766,0.9,6790 Sheridan Blvd,Arvada,CO,Jefferson County,80003
HGS ENTERPRISES INC,CORNERSTONE LIQUOR,Liquor Store (city), 11/24/2015,7355 RALSTON RD #R-500,Arvada,CO,800022574,39.801985111111,-105.07899166667,1,7355 Ralston Rd,Arvada,CO,Jefferson County,80002
HILL TOP LIQUOR LLC,HILL TOP LIQUOR,Liquor Store (city), 12/10/2015,6390 WADSWORTH BLVD UNIT B,Arvada,CO,800034858,39.812613306122,-105.08041767347,0.9,6390 State Hwy,Arvada,CO,Jefferson County,80003
LEE JONG KOOK,LAGUARDIA LIQUORS,Liquor Store (city), 08/04/2015,8008 CHASE DR,ARVADA,CO,800031806,39.842026,-105.057531,1,8008 Chase Dr,Arvada,CO,Jefferson County,80003
MAJESTIC LIQUOR LLC,MAJESTIC LIQUOR,Liquor Store (city), 03/10/2016,12385 W 58TH AVE,ARVADA,CO,800021210,39.801803153846,-105.13778546154,0.9,12385 W 58th Ave,Arvada,CO,Jefferson County,80004
MH CORPORATION,LAKE ARBOR LIQUOR,Liquor Store (city), 03/26/2016,7517 & 7519 WEST 80TH AVE,ARVADA,CO,80003,39.825373,-105.063525,0.33,0,Arvada,CO,Jefferson County,80003
MILE HIGH WINECELLARS LLC,MILE HIGH WINECELLARS,Liquor Store (city), 11/05/2015,15400 W 64TH AVE #E-7,ARVADA,CO,800076852,39.812507366667,-105.17264596667,0.9,15400 Co Rd,Arvada,CO,Jefferson County,80007
"PRIMO VINO, INC",PRIMO VINO,Liquor Store (city), 08/18/2015,5713 OLD WADSWORTH,ARVADA,CO,800022534,39.794822,-105.105292,0.33,0,Arvada,CO,Jefferson County,80002
R & W LLC,LIQUOR PARADISE,Liquor Store (city), 03/24/2016,5220 WADSWORTH BYPASS # P,Arvada,CO,80002,39.816493,-105.081506,0.8, State Hwy,Arvada,CO,Jefferson County,80003
RALSTON SQUARE LIQUORS INC,RALSTON SQUARE LIQUORS,Liquor Store (city), 10/30/2015,6318 WARD RD,Arvada,CO,800043820,39.81141,-105.13786765854,0.9,6318 State Hwy,Arvada,CO,Jefferson County,80004
